date,IDR,MYR,THB,SGD,PHP
2022-08-09,14849.609145983974,4.454954074653116,35.43482509282783,1.378737541528239,55.63709204612077
2022-08-10,14844.781506047602,4.456984003121343,35.52477565353102,1.376024190401873,55.658408115489664
2022-08-11,14718.446508028632,4.444960340491391,35.154768814083965,1.368833430063842,55.35403366221706
2022-08-12,14685.658726300439,4.444239183276617,35.384540593096744,1.3715119105493438,55.65969859017988
2022-08-15,14754.644433545855,4.4595389897008335,35.52525747915645,1.376753310446297,56.02942618930848
2022-08-16,14775.125851347351,4.465995459480801,35.465403217846216,1.3799230085875038,55.87010166814727
2022-08-17,14773.524203069657,4.468024399842581,35.47028728846911,1.3824281778827234,55.85596221959858
2022-08-18,14828.669679701317,4.4739634505796815,35.619964629593234,1.3807231283159755,55.783061505207314
2022-08-19,14871.60334195345,4.476526755520191,35.794708573702,1.3903918838273321,56.02247861547642
2022-08-22,14893.980601939806,4.484951504849516,36.0953904609539,1.3956604339566043,56.21237876212379
2022-08-23,14851.697390953965,4.4884658003425,36.119673617407074,1.396192203082502,56.07031328699507
2022-08-24,14855.647271995169,4.4855043285685525,36.144554056774716,1.3949063821220051,56.07006241191867
2022-08-25,14797.542627883651,4.472016048144433,35.839518555667,1.3898696088264795,56.01003009027081
2022-08-26,14815.199360447688,4.467472769061657,36.00979314479864,1.389627260917358,56.06975117417808
2022-08-29,14891.93871419988,4.489985980372521,36.450030042058884,1.3969557380332465,56.26577208091327
2022-08-30,14824.596372334063,4.475483356587602,36.37034084114012,1.3949571457046042,56.20191349411999
2022-08-31,14849.93,4.4755,36.45,1.3969,56.153
2022-09-01,14872.05117952819,4.4810075969612155,36.6953218712515,1.399640143942423,56.58636545381848
2022-09-02,14906.35444811368,4.484038827179026,36.64965475833083,1.4022815971179827,56.89382567797458
2022-09-05,14902.046370967742,4.492237903225806,36.555443548387096,1.4044354838709678,56.93245967741935
2022-09-06,14891.156325543916,4.5,36.50483481063658,1.4048146655922644,57.06587429492345
2022-09-07,14951.411229135052,4.5014668689934245,36.74456246838645,1.4093070308548306,57.189681335356596
2022-09-08,14878.469377560197,4.501049055849736,36.38525327205515,1.4041362773503847,56.97971825357179
2022-09-09,14832.65001492686,4.497959996019504,36.329983082893825,1.3994427306199624,56.81958403821276
2022-09-12,14853.599212210733,4.503495814869522,36.310192023633675,1.3951747907434762,56.820285573609056
2022-09-13,14839.479115479115,4.508009828009827,36.225061425061426,1.3942014742014741,56.67321867321867
2022-09-14,14918.84884884885,4.527027027027027,36.64464464464464,1.4053053053053053,57.111111111111114
2022-09-15,14937.299839871897,4.535028022417934,36.84547638110489,1.4073258606885508,57.30384307445957
2022-09-16,14973.5483222825,4.534960819770947,36.97006228651798,1.4089813140446052,57.374924653405664
2022-09-19,14990.420420420422,4.55005005005005,37.02002002002002,1.4096096096096096,57.4044044044044
2022-09-20,15018.846384938914,4.5579811736431,37.01982775886241,1.4093731223713197,57.57760865211296
